pr_number,category,confidence,path_guess,label_guess,title,author,branch,merge_sha,merged_at,labels,num_files_changed,html_url
2040,dev,path-only,dev,,Antalya 26.6: Enabled experimental datalake catalogues by-default,zvonand,feature/antalya-26.6/pr-1743,c309304ce46dbe3b383d5874b89d7161a454cfb9,2026-08-06T09:28:26Z,antalya;verified;port-antalya;releasy;forwardport;antalya-26.6;antalya-26.6.2.20001,2,https://github.com/Altinity/ClickHouse/pull/2040
2160,cicd,agree,cicd,cicd,Antalya 26.6 - Stateless debug test stability,strtgbb,stateless-debug-stability-26.6,b3733eaaecf324b3ba5f29642aa282f398225ac7,2026-08-07T02:46:31Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,109,https://github.com/Altinity/ClickHouse/pull/2160
2179,dev,path-only,dev,,"Antalya 26.6, backport of 103936: Puffin file reader",ianton-ru,backport/antalya-26.6/103936,656938220ee1037b9fa6ff4faee361bb4d26ee96,2026-08-07T12:39:09Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,82,https://github.com/Altinity/ClickHouse/pull/2179
2039,uncertain,path-only,uncertain,,Antalya 26.6: Add design for ALTER TABLE EXPORT + design review skill,zvonand,feature/antalya-26.6/pr-1752,a4cdaf60b24d635e1e6da87328893c0c71d06406,2026-08-11T07:13:09Z,antalya;verified;releasy;antalya-26.6;antalya-26.6.2.20001,5,https://github.com/Altinity/ClickHouse/pull/2039
2144,dev,path-only,dev,,Antalya 26.6: Hybrid tables,zvonand,feature/antalya-26.6/auto-grp-pr-1694,8eebeab9cc5193314e8e58f8ffc0c1f617373a36,2026-08-11T13:34:39Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,53,https://github.com/Altinity/ClickHouse/pull/2144
2198,dev,path-only,dev,,Antalya 26.6 Backport of #107377 - Tolerate Iceberg v3 reserved row-lineage field ids in native Parquet reader,mkmkme,backports/antalya-26.6/107377,76f0b8aad59dcd6c3027a4df18f313500215fa69,2026-08-11T13:56:06Z,antalya;verified;backport;antalya-26.6;antalya-26.6.2.20001,3,https://github.com/Altinity/ClickHouse/pull/2198
2145,dev,path-only,dev,,Antalya 26.6: Cluster request improvements + Iceberg/Parquet read fixes,zvonand,feature/antalya-26.6/auto-grp-pr-1687,f7a9d3433b2383f611f6a73e05077cac8f816a07,2026-08-11T19:33:18Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,80,https://github.com/Altinity/ClickHouse/pull/2145
2126,qa,path-only,qa,,Antalya 26.6: Antalya 26.3 Backport - Added test cases for s3 encoding fix,zvonand,feature/antalya-26.6/pr-1781,58d6b77a984441c6edae59f46ec366ac672760e2,2026-08-11T19:36:10Z,antalya;verified;port-antalya;releasy;forwardport;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2126
2199,dev,path-only,dev,,"Antalya 26.6 Backport of #106281, #111483 - Restrict local object access only for user files path",mkmkme,backports/antalya-26.6/111483,7bd0a704f28db06712bc1ca84848ff396daacb25,2026-08-11T19:36:39Z,antalya;verified;backport;antalya-26.6;antalya-26.6.2.20001,9,https://github.com/Altinity/ClickHouse/pull/2199
2189,uncertain,path-only,uncertain,,Antalya 26.6 - Bump to v26.6.2.160-stable,strtgbb,bump/antalya-26.6/26.6.2.160,be5f3f6fa0997a4534bc0f507a602c2a59d6c287,2026-08-11T20:19:22Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,470,https://github.com/Altinity/ClickHouse/pull/2189
2125,dev,path-only,dev,,Antalya 26.6: Implement TRUNCATE TABLE for Iceberg Engine (REST …,zvonand,feature/antalya-26.6/pr-1655,911f0dcb139edf59d200fdeee577f488d707537f,2026-08-12T18:53:43Z,antalya;verified;port-antalya;releasy;forwardport;antalya-26.6;antalya-26.6.2.20001,8,https://github.com/Altinity/ClickHouse/pull/2125
2184,dev,path-only,dev,,Antalya 26.6: S3 tables Iceberg support + catalog profile events,zvonand,feature/antalya-26.6/auto-grp-pr-1808,55471e34c3546a774520148745a377e2499325ae,2026-08-12T19:40:53Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,25,https://github.com/Altinity/ClickHouse/pull/2184
2140,dev,path-only,dev,,Antalya 26.6: Token authentication/authorization + OAuth client login,zvonand,feature/antalya-26.6/auto-grp-pr-1658,a894ddeb080387b3798a6373e06abd9776b0e98c,2026-08-13T03:22:38Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,93,https://github.com/Altinity/ClickHouse/pull/2140
2146,uncertain,path-only,uncertain,,Antalya 26.6: Partition export + cluster functions,zvonand,feature/antalya-26.6/auto-grp-pr-1718,5f5903e8e3bffb3807216dd246b0aa02d971e840,2026-08-14T08:39:33Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,334,https://github.com/Altinity/ClickHouse/pull/2146
2200,dev,path-only,dev,,Antalya 26.6: Fix rescheduleTasksFromReplica,zvonand,feature/antalya-26.6/pr-1747,0487ae945dc06a556bac26e59a49d1d7f41589db,2026-08-14T09:25:41Z,antalya;verified;port-antalya;releasy;forwardport;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2200
2201,dev,path-only,dev,,Antalya 26.6: Fix file identifier in rescheduleTasksFromReplica,zvonand,feature/antalya-26.6/pr-1748,2a605117a49d6fd5a0eb8b65c181c7b9a5286786,2026-08-14T09:34:37Z,antalya;verified;port-antalya;releasy;forwardport;antalya-26.6;antalya-26.6.2.20001,2,https://github.com/Altinity/ClickHouse/pull/2201
2209,dev,path-only,dev,,Antalya 26.6: Make the export task timeout 24 hours instead of 1 hour,zvonand,feature/antalya-26.6/pr-1843,9e05c7e90602d7d95f6dc168043a9392e2108f48,2026-08-15T03:48:57Z,antalya;verified;port-antalya;releasy;forwardport;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2209
2156,dev,path-only,dev,,Antalya 26.6: Cache vended credentials for REST catalogs,zvonand,feature/antalya-26.6/ClickHouse-ClickHouse-pr-107960,a335c4949520532aec945a934ebafdcb73340df0,2026-08-15T03:49:57Z,antalya;verified;port-antalya;releasy;ai-resolved;antalya-26.6;antalya-26.6.2.20001,22,https://github.com/Altinity/ClickHouse/pull/2156
2210,dev,path-only,dev,,Antalya 26.6: Add commit info to partition exports table,zvonand,feature/antalya-26.6/pr-1832,6e6f0f7d7c51901a6d2665db450c1f23df650fcf,2026-08-15T17:10:30Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,23,https://github.com/Altinity/ClickHouse/pull/2210
2154,dev,path-only,dev,,Antalya 26.6: Iceberg: support external paths in tables,zvonand,feature/antalya-26.6/ClickHouse-ClickHouse-pr-90740,2d42c9523e22b5c9af8c0dc01021bf31c44f630d,2026-08-15T17:11:03Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,58,https://github.com/Altinity/ClickHouse/pull/2154
2148,dev,path-only,dev,,Antalya 26.6: Parallelize reads from a single Parquet file in StorageFile,zvonand,feature/antalya-26.6/pr-1806,4e3af3185623f2886d92ae7bbe84470615a0789d,2026-08-16T04:42:02Z,antalya;verified;port-antalya;releasy;ai-resolved;antalya-26.6;antalya-26.6.2.20001,9,https://github.com/Altinity/ClickHouse/pull/2148
2217,dev,path-only,dev,,"Revert ""Antalya 26.6: Parallelize reads from a single Parquet file in StorageFile""",zvonand,revert-2148-feature/antalya-26.6/pr-1806,da3cb11140c27cb5b776e4a0c53ecc9893c38e2d,2026-08-17T03:29:15Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,9,https://github.com/Altinity/ClickHouse/pull/2217
2208,dev,path-only,dev,,Antalya 26.6 Backport of #109051 - Respect use_client_time_zone for string datetime literals parsed on the server,mkmkme,backports/antalya-26.6/109051,d42f80ac187ffd7d4bf97e5e65b7e3684fa37ac8,2026-08-17T09:55:06Z,antalya;verified;backport;antalya-26.6;antalya-26.6.2.20001,5,https://github.com/Altinity/ClickHouse/pull/2208
2218,dev,path-only,dev,,Antalya 26.6 Export partition - check name and pos of columns in partition key,k-morozov,bugfix/antalya/26.6/export-incorect-order-partition-key,7ae4d7db55ef03d3e5a61db8a6f8a243016c914a,2026-08-18T10:28:56Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.2.20001,10,https://github.com/Altinity/ClickHouse/pull/2218
2234,cicd,path-only,cicd,,Add CAS regression jobs to the Antalya 26.6 pipeline,alsugiliazova,feature/antalya-26.6/regression-cas-jobs,8bbac7c71358c1d1ce671427242c8e240bbd0a06,2026-08-18T16:49:47Z,antalya;verified;antalya-26.6;CAS;antalya-26.6.2.20001,2,https://github.com/Altinity/ClickHouse/pull/2234
2223,cicd,agree,cicd,cicd,antalya-26.6: Fix CI failures,CarlosFelipeOR,ci/maintenance-antalya-26.6,64c64b06e4ae9e9f1f44ad287458b2ec4f7d51d2,2026-08-19T20:55:47Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,3,https://github.com/Altinity/ClickHouse/pull/2223
2157,dev,path-only,dev,,Antalya 26:6 Multiple fixes for Iceberg operations,subkanthi,antalya_26_6_fix_alter_table_iceberg,8bfc15d85d6ffa5191d76e6326bcc8a307dd94d3,2026-08-20T14:52:53Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,20,https://github.com/Altinity/ClickHouse/pull/2157
2229,dev,path-only,dev,,Atnalya 26.6 EXPORT PARTITION with position matching + extra columns in source,k-morozov,feature/antalya/26.6/allow_non_matching_schema_export_partition_by_position,e1da95b648168e4fdcba804dd5ce98b3c84fca21,2026-08-20T19:49:18Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.2.20001,17,https://github.com/Altinity/ClickHouse/pull/2229
2183,dev,path-only,dev,,Iceberg deletion vector support (attempt #2),ianton-ru,feature/antalya-26.6/iceberg-puffin-deletion-vectors-read-2,4b7cecaa3cf5fe67bea984e43c5a6b875da3e821,2026-08-21T07:18:12Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.2.20001,179,https://github.com/Altinity/ClickHouse/pull/2183
2246,uncertain,path-only,uncertain,,Antalya 26.6 Backport of #109199 - Fix alter with custom disk,ilejn,backports/antalya-26.6/109199,9bcfda40574752d88f22d776592a36f034269834,2026-08-22T05:03:04Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,8,https://github.com/Altinity/ClickHouse/pull/2246
2248,cicd,agree,cicd,cicd,Antalya 26.6 - Use new euro mirror for test datasets,strtgbb,mirror-web-disk,91982a171459ac426575c5f779319d1527bf7cef,2026-08-24T18:42:16Z,antalya;cicd;verified;port-everywhere;antalya-26.6;antalya-26.6.2.20001,105,https://github.com/Altinity/ClickHouse/pull/2248
2252,cicd,path-only,cicd,,Antalya-26.6: use Cloudflare DNS in containers so lookups don't hang on unroutable IPv6 nameservers,CarlosFelipeOR,ci/antalya-26.6/container-dns,3e36df3fb83df6b6c7b0765ca86aa677003e358c,2026-08-24T18:44:27Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2252
2255,qa,path-only,qa,,Antalya-26.6 - Fix races in the export_merge_tree_part test family,CarlosFelipeOR,ci/antalya-26.6/export-part-wait,94fe5aeca2ea15468167ffaa1d846b6ca9ee6b6d,2026-08-25T06:52:18Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,5,https://github.com/Altinity/ClickHouse/pull/2255
2253,dev,path-only,dev,,Export partition (Antalya 26.6) - allow non matching partition expressions in case we can prove the destination expression does not split the data,arthurpassos,feature/antalya-26.6/export-partition-monotonic-compat,7cb7a9a06206168d548ccb6731e0eb7e210eb07d,2026-08-25T12:36:57Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.2.20001,19,https://github.com/Altinity/ClickHouse/pull/2253
2196,uncertain,"conflict(path=qa,label=cicd)",qa,cicd,Antalya-26.6 - Automated backport of flaky-fix commits from upstream (2026-08-24),github-actions[bot],flaky-fix-backport/antalya-26.6/2026-08-10,4dde269a411f4f5d6b2abd8ffa57386ede14ce68,2026-08-25T13:55:53Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,26,https://github.com/Altinity/ClickHouse/pull/2196
2256,uncertain,"conflict(path=qa,label=cicd)",qa,cicd,Antalya 26.6 - Fix SQLLogic memory issue,MyroTk,26.6-sqllogic,9d63ca98be13b567d6438f35008cda6ef364fe8d,2026-08-25T13:59:08Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,2,https://github.com/Altinity/ClickHouse/pull/2256
2235,dev,path-only,dev,,Parquet v3 read concurrency,UnamedRus,parquet-v3-read-concurrency,a07d2edda8ba525c57ae1b5c04edb0c4a3d213dc,2026-08-25T17:10:40Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.2.20001,10,https://github.com/Altinity/ClickHouse/pull/2235
2257,cicd,agree,cicd,cicd,Antalya 26.6 - Add labels column to report for praktika's flaky label,strtgbb,report-fail-labels,fac5bbfeb4070fe6d0468e206efb75cfc479bfd8,2026-08-25T17:20:03Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2257
2261,uncertain,"conflict(path=qa,label=cicd)",qa,cicd,Antalya-26.6 - Fix test_s3_cluster startup failure under db disk (duplicate shard/replica macros),CarlosFelipeOR,ci/antalya-26.6/ci-stability-fixes,497cbd30075a10b03170fa97e511b4be19b5a04d,2026-08-25T22:52:08Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2261
2263,cicd,agree,cicd,cicd,Antalya 26.6 - Fix PRs in release table missing 3rd party PRs,strtgbb,fix/prs-in-release-fork-prs,7bc06a20019e8c9c12ce33ac8fb4352a96c00fe2,2026-08-25T22:52:17Z,antalya;cicd;verified;port-everywhere;backport-ci;antalya-26.6;antalya-26.6.2.20001,2,https://github.com/Altinity/ClickHouse/pull/2263
2260,cicd,agree,cicd,cicd,Antalya 26.6 - fix targeted jobs queries,strtgbb,fix-targeted-check-cidb-query-args,35668f8ab950761cb45b4f45def2ca2203775b81,2026-08-25T22:52:50Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2260
2159,uncertain,path-only,uncertain,,[experimental] CAS (Content-addressed storage) over shared object storage for antalya-26.6,filimonov,feature/antalya-26.6/CAS,a49d9ed16df9e2ae03a22b69fed7f94c89d16ca7,2026-08-26T10:54:20Z,antalya;verified-with-issues;antalya-26.6;CAS;antalya-26.6.2.20001,614,https://github.com/Altinity/ClickHouse/pull/2159
2268,uncertain,"conflict(path=qa,label=cicd)",qa,cicd,Fix test_num_rows_cache_no_collision_across_buckets,ianton-ru,fix_test_num_rows_cache_no_collision_across_buckets,bfd1a7dca4d66d2871c82252c0af070a89786b94,2026-08-26T11:30:33Z,antalya;cicd;verified;port-antalya;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2268
2276,cicd,path-only,cicd,,Antalya 26.6 - Update md and workflow files for new main branch,strtgbb,new-main-26.6,b7450be968fa784c1b63c48545b93f401ceb541c,2026-08-27T14:23:40Z,antalya;verified;antalya-26.6,9,https://github.com/Altinity/ClickHouse/pull/2276
2273,cicd,agree,cicd,cicd,Antalya 26.6 - Fix Alpine CVEs,MyroTk,fix-alpine-cves-antalya-26.6,bea4b67001b9a1da3a2775ad6039ad35dc142068,2026-08-27T15:06:58Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,3,https://github.com/Altinity/ClickHouse/pull/2273
2277,cicd,agree,cicd,cicd,Antalya-26.6 - Increase timeout for msan unit tests (slow with cas),strtgbb,fix-msan-unit-tests-timeout,dfb04191178a12e9db62358dca5446238ef6ed84,2026-08-27T17:03:16Z,antalya;cicd;verified;antalya-26.6,2,https://github.com/Altinity/ClickHouse/pull/2277
2269,cicd,agree,cicd,cicd,Antalya 26.6 - fix report skipped jobs backfill and prs table on tag runs,strtgbb,fix/antalya-26.6/cached-build-backfill-skipped,b331019560efcf478e6e85b64003509f2381daaa,2026-08-27T18:24:41Z,antalya;cicd;verified;antalya-26.6,1,https://github.com/Altinity/ClickHouse/pull/2269
2280,cicd,agree,cicd,cicd,Antalya 26.6 - Remove stateless debug dependency in regression on MasterCI workflow,strtgbb,remove-regression-dependency,6e10e116421a08a1dc9e5cc3876a08b87938faa3,2026-08-27T21:12:29Z,antalya;cicd;verified;antalya-26.6,4,https://github.com/Altinity/ClickHouse/pull/2280
2284,dev,path-only,dev,,Antalya 26.6 allow non matching schema export partition by name,k-morozov,feature/antalya/26.6/allow_non_matching_schema_export_partition_by_name,c000f8a26025824318b52bd40c6a3a08676d987e,2026-08-31T12:10:27Z,antalya;verified;antalya-26.6;antalya-26.6.4.20001,18,https://github.com/Altinity/ClickHouse/pull/2284
2249,dev,path-only,dev,,Fix join filter pushdown,ianton-ru,fix/join-filter-pushdown-through-rename,5b547003b27b2ad082fb3453b290cba40dbc8009,2026-09-04T13:04:01Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.4.20001,25,https://github.com/Altinity/ClickHouse/pull/2249
2271,dev,path-only,dev,,Support for Databricks deletion vectors,ianton-ru,iceberg-delta-bin-deletion-vectors,cc5dca0442eb53ea5e6d51a06d3f789b5577e961,2026-09-04T13:04:14Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.4.20001,25,https://github.com/Altinity/ClickHouse/pull/2271
2197,dev,path-only,dev,,Reload cluster discovery settings from remote_servers without restart.,ianton-ru,feature/antalya-26.6/cluster_discovery_update,1f544e19dd51feebb3529d3638dfedd49c2907b8,2026-09-04T13:05:07Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.4.20001,14,https://github.com/Altinity/ClickHouse/pull/2197
2222,dev,path-only,dev,,Antalya-26.6: Datalake catalog auth token profile events,ianton-ru,feature/antalya-26.6/datalake-catalog-auth-token-profile-events,a88ca7562191cd388c854f59f03c507952208ecf,2026-09-04T13:05:27Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.4.20001,7,https://github.com/Altinity/ClickHouse/pull/2222
2293,dev,path-only,dev,,Fix SettingsChangesHistory.cpp,ianton-ru,bugfix/antalya-26.6/settings_history_fix,b3c747bb0358bd959c0f7b53431e2238e2f55f26,2026-09-04T13:05:46Z,antalya;verified;antalya-26.6;antalya-26.6.4.20001,1,https://github.com/Altinity/ClickHouse/pull/2293
2320,dev,path-only,dev,,Antalya 26.6 Backport of #115832: Support decimal types for writing in data lakes,zvonand,backport/antalya-26.6/115832,58ed9d571cd98ca1cd13f000be35933ff9e52a9b,2026-09-09T09:30:34Z,antalya;verified;backport;antalya-26.6;antalya-26.6.4.20001,6,https://github.com/Altinity/ClickHouse/pull/2320
